"1st Mariner Arena","Baltimore","close to","/Volumes/Untitled/tmp/webtest/1st+Mariner+Arena/close+to/close+to_1st+Mariner+Arena_54.html","53","79","baltimore, md 21201
the following hotels are located close to 1st mariner arena.","S < NP=np1 <+(VP) (ADVP < (RB < close) < (PP < (TO < to) <+(NP) (NP=np2 !< CC !> (NP !< CC))))","(ROOT
  (S
    (NP
      (NP (NN baltimore))
      (, ,)
      (NP
        (NP
          (QP (CD md) (CD 21201)))
        (NP (DT the) (JJ following) (NNS hotels))))
    (VP (VBP are)
      (VP (VBN located)
        (ADVP (RB close)
          (PP (TO to)
            (NP (JJ 1st) (NN mariner) (NN arena))))))
    (. .)))
","(S
  (NP
    (NP (NN baltimore))
    (, ,)
    (NP
      (NP
        (QP (CD md) (CD 21201)))
      (NP (DT the) (JJ following) (NNS hotels))))
  (VP (VBP are)
    (VP (VBN located)
      (ADVP (RB close)
        (PP (TO to)
          (NP (JJ 1st) (NN mariner) (NN arena))))))
  (. .))
","baltimore , md 21201 the following hotels",,,"1st mariner arena",,
"Abbotsford","Boston","close to","/Volumes/Untitled/tmp/webtest/Abbotsford/close+to/close+to_Abbotsford_173.html","36","59","
the second epic bike fail happened close to the abbotsford lentil as anything.","S < NP=np1 <+(VP) (ADVP < (RB < close) < (PP < (TO < to) <+(NP) (NP=np2 !< CC !> (NP !< CC))))","(ROOT
  (S
    (NP (DT the) (JJ second) (NN epic) (NN bike))
    (VP (VBP fail)
      (VP (VBN happened)
        (ADVP (RB close)
          (PP (TO to)
            (NP (DT the) (JJ abbotsford) (NN lentil))))
        (PP (IN as)
          (NP (NN anything)))))
    (. .)))
","(S
  (NP (DT the) (JJ second) (NN epic) (NN bike))
  (VP (VBP fail)
    (VP (VBN happened)
      (ADVP (RB close)
        (PP (TO to)
          (NP (DT the) (JJ abbotsford) (NN lentil))))
      (PP (IN as)
        (NP (NN anything)))))
  (. .))
","the second epic bike",,,"the abbotsford lentil",,
"Abbotsford","Boston","close to","/Volumes/Untitled/tmp/webtest/Abbotsford/close+to/close+to_Abbotsford_201.html","36","59","
the second epic bike fail happened close to the abbotsford lentil as anything.","S < NP=np1 <+(VP) (ADVP < (RB < close) < (PP < (TO < to) <+(NP) (NP=np2 !< CC !> (NP !< CC))))","(ROOT
  (S
    (NP (DT the) (JJ second) (NN epic) (NN bike))
    (VP (VBP fail)
      (VP (VBN happened)
        (ADVP (RB close)
          (PP (TO to)
            (NP (DT the) (JJ abbotsford) (NN lentil))))
        (PP (IN as)
          (NP (NN anything)))))
    (. .)))
","(S
  (NP (DT the) (JJ second) (NN epic) (NN bike))
  (VP (VBP fail)
    (VP (VBN happened)
      (ADVP (RB close)
        (PP (TO to)
          (NP (DT the) (JJ abbotsford) (NN lentil))))
      (PP (IN as)
        (NP (NN anything)))))
  (. .))
","the second epic bike",,,"the abbotsford lentil",,
"Abbotsford","Boston","close to","/Volumes/Untitled/tmp/webtest/Abbotsford/close+to/close+to_Abbotsford_202.html","36","59","
the second epic bike fail happened close to the abbotsford lentil as anything.","S < NP=np1 <+(VP) (ADVP < (RB < close) < (PP < (TO < to) <+(NP) (NP=np2 !< CC !> (NP !< CC))))","(ROOT
  (S
    (NP (DT the) (JJ second) (NN epic) (NN bike))
    (VP (VBP fail)
      (VP (VBN happened)
        (ADVP (RB close)
          (PP (TO to)
            (NP (DT the) (JJ abbotsford) (NN lentil))))
        (PP (IN as)
          (NP (NN anything)))))
    (. .)))
","(S
  (NP (DT the) (JJ second) (NN epic) (NN bike))
  (VP (VBP fail)
    (VP (VBN happened)
      (ADVP (RB close)
        (PP (TO to)
          (NP (DT the) (JJ abbotsford) (NN lentil))))
      (PP (IN as)
        (NP (NN anything)))))
  (. .))
","the second epic bike",,,"the abbotsford lentil",,
"Abbotsford","Boston","close to","/Volumes/Untitled/tmp/webtest/Abbotsford/close+to/close+to_Abbotsford_210.html","36","59","
the second epic bike fail happened close to the abbotsford lentil as anything.","S < NP=np1 <+(VP) (ADVP < (RB < close) < (PP < (TO < to) <+(NP) (NP=np2 !< CC !> (NP !< CC))))","(ROOT
  (S
    (NP (DT the) (JJ second) (NN epic) (NN bike))
    (VP (VBP fail)
      (VP (VBN happened)
        (ADVP (RB close)
          (PP (TO to)
            (NP (DT the) (JJ abbotsford) (NN lentil))))
        (PP (IN as)
          (NP (NN anything)))))
    (. .)))
","(S
  (NP (DT the) (JJ second) (NN epic) (NN bike))
  (VP (VBP fail)
    (VP (VBN happened)
      (ADVP (RB close)
        (PP (TO to)
          (NP (DT the) (JJ abbotsford) (NN lentil))))
      (PP (IN as)
        (NP (NN anything)))))
  (. .))
","the second epic bike",,,"the abbotsford lentil",,
"Abbotsford","Boston","close to","/Volumes/Untitled/tmp/webtest/Abbotsford/close+to/close+to_Abbotsford_214.html","21","57"," our organization is close to people living in abbotsford homes, academy gardens, academyville, alden park manor, allegheny west, andorra, ardmore, ashton wooden bridge, bartram village, bella vista, belmont, blue grass, brewey town, broomall, bryn mar, bridgeport, byberry, bustleton, byberry, caroll park, cedar grove, cedar park, chinatown, chestnut hill, chopersville, claymont, cobbs creek, conshocken, crestmont farms, chester, devon, drexel hill, east mount airy, east falls, elkins park, elmwood, feltonville, fishers, fishtown, fitler square, folcroft, francisville, garden court, germantown, girard estate, gladwyne, glenside, glen willow, glenside, grays ferry, jenkintown, kensington, haverford, lafayette hill, manayunk, mafair, mechanicsville, merion, mount airy, narberth, old city, olney, overbrook, oxford circle, oxford villiage, lansdowne, paoli, pennypack woods, pennsport, pennyback, philadelphia, philmont, pittville, plymouth meeting, point breeze, poplar, port richmond, powelton, queen village, radnor, rhawnhurst, rittenhouse, roxborough, ryers, saint martins, shawmont, schuylkill, sharswood, society hill, somerton, somerville, southwest center city, springfield, spring garden, spruce hill, stenton, strawberry mansion, summerdale, tabor, tacony, tasker homes, tiogoa, torresdale, upsal, university city, wayne, wayne junction, west conshoken, west torresdale, west mount airy, west oak lane, wissahickon, wissinoming, wister, wharton, whitman, woodlyn wynnefield, yeadon, bellmawr, camden, cherry hill, collingswood, audubon, golden triangle, haddonfield,  merchantville, oaklyn, tavistock, woodlynee, southern jersey.","S < NP=np1 <+(VP) (ADVP < (RB < close) < (PP < (TO < to) <+(NP) (NP=np2 !< CC !> (NP !< CC))))","(ROOT
  (S
    (NP (PRP$ our) (NN organization))
    (VP (VBZ is)
      (ADVP (RB close)
        (PP (TO to)
          (NP (NNS people))))
      (VP (VBG living)
        (PP (IN in)
          (NP (JJ abbotsford) (NNS homes)))))
    (, ,)
    (X
      (NP
        (NP (NN academy) (NNS gardens))
        (, ,)
        (NP (NN academyville))
        (, ,)
        (NP (NN alden) (NN park) (NN manor))
        (, ,)
        (NP (JJ allegheny) (NN west))
        (, ,)
        (NP (NN andorra))
        (, ,)
        (NP (NN ardmore))
        (, ,)
        (NP (JJ ashton) (JJ wooden) (NN bridge))
        (, ,)
        (NP (NN bartram) (NN village))
        (, ,)
        (NP (NN bella) (NN vista))
        (, ,)
        (NP (NN belmont))
        (, ,)
        (NP (JJ blue) (NN grass))
        (, ,)
        (NP (JJ brewey) (NN town))
        (, ,)
        (NP (NN broomall))
        (, ,)
        (NP (NN bryn) (NNS mar))
        (, ,)
        (NP (NN bridgeport))
        (, ,)
        (NP (NN byberry))
        (, ,)
        (NP (NN bustleton))
        (, ,)
        (NP (NN byberry))
        (, ,)
        (NP (JJ caroll) (NN park))
        (, ,)
        (NP (NN cedar) (NN grove))
        (, ,)
        (NP (NN cedar) (NN park))
        (, ,)
        (NP (NN chinatown))
        (, ,)
        (NP (JJ chestnut) (NN hill))
        (, ,)
        (NP (NN chopersville))
        (, ,)
        (NP (NN claymont))
        (, ,)
        (NP (JJ cobbs) (NN creek))
        (, ,)
        (NP (NN conshocken))
        (, ,)
        (NP (JJ crestmont) (NNS farms))
        (, ,)
        (NP (NN chester))
        (, ,)
        (NP (NN devon))
        (, ,)
        (NP (JJ drexel) (NN hill))
        (, ,)
        (NP (JJ east) (JJ mount) (NN airy))
        (, ,)
        (NP (JJ east) (NNS falls))
        (, ,)
        (NP (JJ elkins) (NN park))
        (, ,)
        (NP (NN elmwood))
        (, ,)
        (NP (NN feltonville))
        (, ,)
        (NP (NNS fishers))
        (, ,)
        (NP (NN fishtown))
        (, ,)
        (NP (NN fitler) (NN square))
        (, ,)
        (NP (NN folcroft))
        (, ,)
        (NP (NN francisville))
        (, ,)
        (NP (NN garden) (NN court))
        (, ,)
        (NP (NN germantown))
        (, ,)
        (NP (JJ girard) (NN estate))
        (, ,)
        (NP (NN gladwyne))
        (, ,)
        (NP (NN glenside))
        (, ,)
        (NP (NN glen) (NN willow))
        (, ,)
        (NP (NN glenside))
        (, ,)
        (NP (JJ grays) (NN ferry))
        (, ,)
        (NP (NN jenkintown))
        (, ,)
        (NP (NN kensington))
        (, ,)
        (NP (NN haverford))
        (, ,)
        (NP (JJ lafayette) (NN hill))
        (, ,)
        (NP (NN manayunk))
        (, ,)
        (NP (NN mafair))
        (, ,)
        (NP (NN mechanicsville))
        (, ,)
        (NP (NN merion))
        (, ,)
        (NP (JJ mount) (NN airy))
        (, ,)
        (NP (NN narberth))
        (, ,)
        (NP (JJ old) (NN city))
        (, ,)
        (NP (NN olney))
        (, ,)
        (NP (NN overbrook))
        (, ,)
        (NP (JJ oxford) (NN circle))
        (, ,)
        (NP (JJ oxford) (NN villiage))
        (, ,)
        (NP (NN lansdowne))
        (, ,)
        (NP (NNS paoli))
        (, ,)
        (NP (NN pennypack) (NNS woods))
        (, ,)
        (NP (NN pennsport) (, ,) (NN pennyback) (, ,) (NN philadelphia) (, ,) (NN philmont) (, ,) (NN pittville) (, ,) (JJ plymouth) (NN meeting))
        (, ,)
        (NP (NN point) (NN breeze))
        (, ,)
        (NP (NN poplar))
        (, ,)
        (NP (JJ port) (NN richmond))
        (, ,)
        (NP (NN powelton))
        (, ,)
        (NP (NN queen) (NN village))
        (, ,)
        (NP (NN radnor))
        (, ,)
        (NP (NN rhawnhurst))
        (, ,)
        (NP (NN rittenhouse))
        (, ,)
        (NP (NN roxborough))
        (, ,)
        (NP (NNS ryers))
        (, ,)
        (NP (JJ saint) (NNS martins))
        (, ,)
        (NP (NN shawmont))
        (, ,)
        (NP (NN schuylkill))
        (, ,)
        (NP (NN sharswood))
        (, ,)
        (NP (NN society) (NN hill))
        (, ,)
        (NP (NN somerton))
        (, ,)
        (NP (NN somerville))
        (, ,)
        (NP (JJ southwest) (NN center) (NN city))
        (, ,)
        (NP (NN springfield))
        (, ,)
        (NP (NN spring) (NN garden))
        (, ,)
        (NP (JJ spruce) (NN hill))
        (, ,)
        (NP (NN stenton))
        (, ,)
        (NP (JJ strawberry) (NN mansion))
        (, ,)
        (NP (NN summerdale))
        (, ,)
        (NP (NN tabor))
        (, ,)
        (NP (NN tacony))
        (, ,)
        (NP (NN tasker) (NNS homes))
        (, ,)
        (NP (NN tiogoa))
        (, ,)
        (NP (NN torresdale))
        (, ,)
        (NP (NN upsal))
        (, ,)
        (NP (NN university) (NN city))
        (, ,)
        (NP (NN wayne))
        (, ,)
        (NP (JJ wayne) (NN junction))
        (, ,)
        (NP (JJ west) (NN conshoken))
        (, ,)
        (NP (JJ west) (NN torresdale))
        (, ,)
        (NP (JJ west) (JJ mount) (NN airy))
        (, ,)
        (NP (JJ west) (NN oak) (NN lane))
        (, ,)
        (NP (NN wissahickon))
        (, ,)
        (NP (NN wissinoming))
        (, ,)
        (NP (NN wister))
        (, ,)
        (NP (NN wharton))
        (, ,)
        (NP (NN whitman))
        (, ,)
        (NP (NN woodlyn) (NN wynnefield))
        (, ,)
        (NP (NN yeadon))
        (, ,)
        (NP (NN bellmawr))
        (, ,)
        (NP (NN camden))
        (, ,)
        (NP (JJ cherry) (NN hill))
        (, ,)
        (NP (NN collingswood))
        (, ,)
        (NP (NN audubon))
        (, ,)
        (NP (JJ golden) (NN triangle))
        (, ,)
        (NP (JJ haddonfield) (, ,) (NN merchantville) (, ,) (NN oaklyn) (, ,) (NN tavistock) (, ,) (NN woodlynee) (, ,) (JJ southern) (NN jersey))))
    (. .)))
","(S
  (NP (PRP$ our) (NN organization))
  (VP (VBZ is)
    (ADVP (RB close)
      (PP (TO to)
        (NP (NNS people))))
    (VP (VBG living)
      (PP (IN in)
        (NP (JJ abbotsford) (NNS homes)))))
  (, ,)
  (X
    (NP
      (NP (NN academy) (NNS gardens))
      (, ,)
      (NP (NN academyville))
      (, ,)
      (NP (NN alden) (NN park) (NN manor))
      (, ,)
      (NP (JJ allegheny) (NN west))
      (, ,)
      (NP (NN andorra))
      (, ,)
      (NP (NN ardmore))
      (, ,)
      (NP (JJ ashton) (JJ wooden) (NN bridge))
      (, ,)
      (NP (NN bartram) (NN village))
      (, ,)
      (NP (NN bella) (NN vista))
      (, ,)
      (NP (NN belmont))
      (, ,)
      (NP (JJ blue) (NN grass))
      (, ,)
      (NP (JJ brewey) (NN town))
      (, ,)
      (NP (NN broomall))
      (, ,)
      (NP (NN bryn) (NNS mar))
      (, ,)
      (NP (NN bridgeport))
      (, ,)
      (NP (NN byberry))
      (, ,)
      (NP (NN bustleton))
      (, ,)
      (NP (NN byberry))
      (, ,)
      (NP (JJ caroll) (NN park))
      (, ,)
      (NP (NN cedar) (NN grove))
      (, ,)
      (NP (NN cedar) (NN park))
      (, ,)
      (NP (NN chinatown))
      (, ,)
      (NP (JJ chestnut) (NN hill))
      (, ,)
      (NP (NN chopersville))
      (, ,)
      (NP (NN claymont))
      (, ,)
      (NP (JJ cobbs) (NN creek))
      (, ,)
      (NP (NN conshocken))
      (, ,)
      (NP (JJ crestmont) (NNS farms))
      (, ,)
      (NP (NN chester))
      (, ,)
      (NP (NN devon))
      (, ,)
      (NP (JJ drexel) (NN hill))
      (, ,)
      (NP (JJ east) (JJ mount) (NN airy))
      (, ,)
      (NP (JJ east) (NNS falls))
      (, ,)
      (NP (JJ elkins) (NN park))
      (, ,)
      (NP (NN elmwood))
      (, ,)
      (NP (NN feltonville))
      (, ,)
      (NP (NNS fishers))
      (, ,)
      (NP (NN fishtown))
      (, ,)
      (NP (NN fitler) (NN square))
      (, ,)
      (NP (NN folcroft))
      (, ,)
      (NP (NN francisville))
      (, ,)
      (NP (NN garden) (NN court))
      (, ,)
      (NP (NN germantown))
      (, ,)
      (NP (JJ girard) (NN estate))
      (, ,)
      (NP (NN gladwyne))
      (, ,)
      (NP (NN glenside))
      (, ,)
      (NP (NN glen) (NN willow))
      (, ,)
      (NP (NN glenside))
      (, ,)
      (NP (JJ grays) (NN ferry))
      (, ,)
      (NP (NN jenkintown))
      (, ,)
      (NP (NN kensington))
      (, ,)
      (NP (NN haverford))
      (, ,)
      (NP (JJ lafayette) (NN hill))
      (, ,)
      (NP (NN manayunk))
      (, ,)
      (NP (NN mafair))
      (, ,)
      (NP (NN mechanicsville))
      (, ,)
      (NP (NN merion))
      (, ,)
      (NP (JJ mount) (NN airy))
      (, ,)
      (NP (NN narberth))
      (, ,)
      (NP (JJ old) (NN city))
      (, ,)
      (NP (NN olney))
      (, ,)
      (NP (NN overbrook))
      (, ,)
      (NP (JJ oxford) (NN circle))
      (, ,)
      (NP (JJ oxford) (NN villiage))
      (, ,)
      (NP (NN lansdowne))
      (, ,)
      (NP (NNS paoli))
      (, ,)
      (NP (NN pennypack) (NNS woods))
      (, ,)
      (NP (NN pennsport) (, ,) (NN pennyback) (, ,) (NN philadelphia) (, ,) (NN philmont) (, ,) (NN pittville) (, ,) (JJ plymouth) (NN meeting))
      (, ,)
      (NP (NN point) (NN breeze))
      (, ,)
      (NP (NN poplar))
      (, ,)
      (NP (JJ port) (NN richmond))
      (, ,)
      (NP (NN powelton))
      (, ,)
      (NP (NN queen) (NN village))
      (, ,)
      (NP (NN radnor))
      (, ,)
      (NP (NN rhawnhurst))
      (, ,)
      (NP (NN rittenhouse))
      (, ,)
      (NP (NN roxborough))
      (, ,)
      (NP (NNS ryers))
      (, ,)
      (NP (JJ saint) (NNS martins))
      (, ,)
      (NP (NN shawmont))
      (, ,)
      (NP (NN schuylkill))
      (, ,)
      (NP (NN sharswood))
      (, ,)
      (NP (NN society) (NN hill))
      (, ,)
      (NP (NN somerton))
      (, ,)
      (NP (NN somerville))
      (, ,)
      (NP (JJ southwest) (NN center) (NN city))
      (, ,)
      (NP (NN springfield))
      (, ,)
      (NP (NN spring) (NN garden))
      (, ,)
      (NP (JJ spruce) (NN hill))
      (, ,)
      (NP (NN stenton))
      (, ,)
      (NP (JJ strawberry) (NN mansion))
      (, ,)
      (NP (NN summerdale))
      (, ,)
      (NP (NN tabor))
      (, ,)
      (NP (NN tacony))
      (, ,)
      (NP (NN tasker) (NNS homes))
      (, ,)
      (NP (NN tiogoa))
      (, ,)
      (NP (NN torresdale))
      (, ,)
      (NP (NN upsal))
      (, ,)
      (NP (NN university) (NN city))
      (, ,)
      (NP (NN wayne))
      (, ,)
      (NP (JJ wayne) (NN junction))
      (, ,)
      (NP (JJ west) (NN conshoken))
      (, ,)
      (NP (JJ west) (NN torresdale))
      (, ,)
      (NP (JJ west) (JJ mount) (NN airy))
      (, ,)
      (NP (JJ west) (NN oak) (NN lane))
      (, ,)
      (NP (NN wissahickon))
      (, ,)
      (NP (NN wissinoming))
      (, ,)
      (NP (NN wister))
      (, ,)
      (NP (NN wharton))
      (, ,)
      (NP (NN whitman))
      (, ,)
      (NP (NN woodlyn) (NN wynnefield))
      (, ,)
      (NP (NN yeadon))
      (, ,)
      (NP (NN bellmawr))
      (, ,)
      (NP (NN camden))
      (, ,)
      (NP (JJ cherry) (NN hill))
      (, ,)
      (NP (NN collingswood))
      (, ,)
      (NP (NN audubon))
      (, ,)
      (NP (JJ golden) (NN triangle))
      (, ,)
      (NP (JJ haddonfield) (, ,) (NN merchantville) (, ,) (NN oaklyn) (, ,) (NN tavistock) (, ,) (NN woodlynee) (, ,) (JJ southern) (NN jersey))))
  (. .))
","our organization",,,"people",,
"Abbotsford","Boston","close to","/Volumes/Untitled/tmp/webtest/Abbotsford/close+to/close+to_Abbotsford_243.html","36","59","
the second epic bike fail happened close to the abbotsford lentil as anything.","S < NP=np1 <+(VP) (ADVP < (RB < close) < (PP < (TO < to) <+(NP) (NP=np2 !< CC !> (NP !< CC))))","(ROOT
  (S
    (NP (DT the) (JJ second) (NN epic) (NN bike))
    (VP (VBP fail)
      (VP (VBN happened)
        (ADVP (RB close)
          (PP (TO to)
            (NP (DT the) (JJ abbotsford) (NN lentil))))
        (PP (IN as)
          (NP (NN anything)))))
    (. .)))
","(S
  (NP (DT the) (JJ second) (NN epic) (NN bike))
  (VP (VBP fail)
    (VP (VBN happened)
      (ADVP (RB close)
        (PP (TO to)
          (NP (DT the) (JJ abbotsford) (NN lentil))))
      (PP (IN as)
        (NP (NN anything)))))
  (. .))
","the second epic bike",,,"the abbotsford lentil",,
"Abbotsford","Boston","close to","/Volumes/Untitled/tmp/webtest/Abbotsford/close+to/close+to_Abbotsford_258.html","36","59","
the second epic bike fail happened close to the abbotsford lentil as anything.","S < NP=np1 <+(VP) (ADVP < (RB < close) < (PP < (TO < to) <+(NP) (NP=np2 !< CC !> (NP !< CC))))","(ROOT
  (S
    (NP (DT the) (JJ second) (NN epic) (NN bike))
    (VP (VBP fail)
      (VP (VBN happened)
        (ADVP (RB close)
          (PP (TO to)
            (NP (DT the) (JJ abbotsford) (NN lentil))))
        (PP (IN as)
          (NP (NN anything)))))
    (. .)))
","(S
  (NP (DT the) (JJ second) (NN epic) (NN bike))
  (VP (VBP fail)
    (VP (VBN happened)
      (ADVP (RB close)
        (PP (TO to)
          (NP (DT the) (JJ abbotsford) (NN lentil))))
      (PP (IN as)
        (NP (NN anything)))))
  (. .))
","the second epic bike",,,"the abbotsford lentil",,
"Abbotsford","Boston","close to","/Volumes/Untitled/tmp/webtest/Abbotsford/close+to/close+to_Abbotsford_273.html","36","59","
the second epic bike fail happened close to the abbotsford lentil as anything.","S < NP=np1 <+(VP) (ADVP < (RB < close) < (PP < (TO < to) <+(NP) (NP=np2 !< CC !> (NP !< CC))))","(ROOT
  (S
    (NP (DT the) (JJ second) (NN epic) (NN bike))
    (VP (VBP fail)
      (VP (VBN happened)
        (ADVP (RB close)
          (PP (TO to)
            (NP (DT the) (JJ abbotsford) (NN lentil))))
        (PP (IN as)
          (NP (NN anything)))))
    (. .)))
","(S
  (NP (DT the) (JJ second) (NN epic) (NN bike))
  (VP (VBP fail)
    (VP (VBN happened)
      (ADVP (RB close)
        (PP (TO to)
          (NP (DT the) (JJ abbotsford) (NN lentil))))
      (PP (IN as)
        (NP (NN anything)))))
  (. .))
","the second epic bike",,,"the abbotsford lentil",,
"Abbotsford","Boston","close to","/Volumes/Untitled/tmp/webtest/Abbotsford/close+to/close+to_Abbotsford_282.html","36","59","
the second epic bike fail happened close to the abbotsford lentil as anything.","S < NP=np1 <+(VP) (ADVP < (RB < close) < (PP < (TO < to) <+(NP) (NP=np2 !< CC !> (NP !< CC))))","(ROOT
  (S
    (NP (DT the) (JJ second) (NN epic) (NN bike))
    (VP (VBP fail)
      (VP (VBN happened)
        (ADVP (RB close)
          (PP (TO to)
            (NP (DT the) (JJ abbotsford) (NN lentil))))
        (PP (IN as)
          (NP (NN anything)))))
    (. .)))
","(S
  (NP (DT the) (JJ second) (NN epic) (NN bike))
  (VP (VBP fail)
    (VP (VBN happened)
      (ADVP (RB close)
        (PP (TO to)
          (NP (DT the) (JJ abbotsford) (NN lentil))))
      (PP (IN as)
        (NP (NN anything)))))
  (. .))
","the second epic bike",,,"the abbotsford lentil",,
"Abbotsford","Boston","close to","/Volumes/Untitled/tmp/webtest/Abbotsford/close+to/close+to_Abbotsford_285.html","36","59","
the second epic bike fail happened close to the abbotsford lentil as anything.","S < NP=np1 <+(VP) (ADVP < (RB < close) < (PP < (TO < to) <+(NP) (NP=np2 !< CC !> (NP !< CC))))","(ROOT
  (S
    (NP (DT the) (JJ second) (NN epic) (NN bike))
    (VP (VBP fail)
      (VP (VBN happened)
        (ADVP (RB close)
          (PP (TO to)
            (NP (DT the) (JJ abbotsford) (NN lentil))))
        (PP (IN as)
          (NP (NN anything)))))
    (. .)))
","(S
  (NP (DT the) (JJ second) (NN epic) (NN bike))
  (VP (VBP fail)
    (VP (VBN happened)
      (ADVP (RB close)
        (PP (TO to)
          (NP (DT the) (JJ abbotsford) (NN lentil))))
      (PP (IN as)
        (NP (NN anything)))))
  (. .))
","the second epic bike",,,"the abbotsford lentil",,
